municipio_cod;municipio_fato;data_fato;mes;ano;risp;rmbh;tentado_consumado;qtde_vitimas
317010;UBERABA;2018-01-01;1;2018;5º RISP - Uberaba;3) Interior de MG;CONSUMADO;1
314390;MURIAE;2018-01-02;1;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
312410;ESMERALDAS;2018-01-03;1;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
317080;VARZEA DA PALMA;2018-01-06;1;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;2
312540;FELICIO DOS SANTOS;2018-01-06;1;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
311510;CASSIA;2018-01-07;1;2018;18º RISP - Poços de Caldas;3) Interior de MG;CONSUMADO;1
314000;MARIANA;2018-01-07;1;2018;3º RISP - Vespasiano;3) Interior de MG;CONSUMADO;1
315000;PESCADOR;2018-01-08;1;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-01-09;1;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
316860;TEOFILO OTONI;2018-01-11;1;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
315890;SANTANA DO MANHUACU;2018-01-12;1;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;1
310620;BELO HORIZONTE;2018-01-14;1;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
317010;UBERABA;2018-01-15;1;2018;5º RISP - Uberaba;3) Interior de MG;CONSUMADO;2
314120;MATUTINA;2018-01-16;1;2018;10º RISP - Patos de Minas;3) Interior de MG;TENTADO;1
315460;RIBEIRAO DAS NEVES;2018-01-16;1;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
310270;CACHOEIRA DE PAJEU;2018-01-17;1;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
313510;JANAUBA;2018-01-18;1;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;2
316860;TEOFILO OTONI;2018-01-18;1;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-01-20;1;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
312770;GOVERNADOR VALADARES;2018-01-20;1;2018;8º RISP - Governador Valadares;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-01-22;1;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;TENTADO;1
316970;TURMALINA;2018-01-22;1;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
315895;SANTANA DO PARAISO;2018-01-27;1;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
313620;JOAO MONLEVADE;2018-01-28;1;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
312100;DATAS;2018-01-28;1;2018;14º RISP - Curvelo;3) Interior de MG;CONSUMADO;1
317020;UBERLANDIA;2018-01-30;1;2018;9º RISP - Uberlândia;3) Interior de MG;CONSUMADO;1
317010;UBERABA;2018-01-31;1;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
312760;GOUVEIA;2018-02-02;2;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;2
311860;CONTAGEM;2018-02-06;2;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
310670;BETIM;2018-02-07;2;2018;2º RISP - Contagem;2) RMBH (sem BH);CONSUMADO;1
312760;GOUVEIA;2018-02-09;2;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;2
312760;GOUVEIA;2018-02-10;2;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
311000;CAETE;2018-02-11;2;2018;3º RISP - Vespasiano;2) RMBH (sem BH);TENTADO;1
311455;CARNEIRINHO;2018-02-11;2;2018;5º RISP - Uberaba;3) Interior de MG;TENTADO;1
313170;ITABIRA;2018-02-11;2;2018;12º RISP - Ipatinga;3) Interior de MG;CONSUMADO;2
310610;BELMIRO BRAGA;2018-02-13;2;2018;4º RISP - Juiz de Fora;3) Interior de MG;TENTADO;1
315120;PIRAPORA;2018-02-13;2;2018;14º RISP - Curvelo;3) Interior de MG;TENTADO;1
316720;SETE LAGOAS;2018-02-13;2;2018;19º RISP - Sete Lagoas;3) Interior de MG;TENTADO;1
316870;TIMOTEO;2018-02-13;2;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
310620;BELO HORIZONTE;2018-02-13;2;2018;1º RISP - Belo Horizonte;1) Belo Horizonte;CONSUMADO;1
317010;UBERABA;2018-02-13;2;2018;5º RISP - Uberaba;3) Interior de MG;CONSUMADO;1
317200;VISCONDE DO RIO BRANCO;2018-02-15;2;2018;4º RISP - Juiz de Fora;3) Interior de MG;CONSUMADO;1
314530;NOVO CRUZEIRO;2018-02-17;2;2018;15º RISP - Teófilo Otoni;3) Interior de MG;CONSUMADO;1
314675;PALMOPOLIS;2018-02-18;2;2018;15º RISP - Teófilo Otoni;3) Interior de MG;TENTADO;2
313750;LAGOA FORMOSA;2018-02-19;2;2018;10º RISP - Patos de Minas;3) Interior de MG;CONSUMADO;1
317020;UBERLANDIA;2018-02-20;2;2018;9º RISP - Uberlândia;3) Interior de MG;TENTADO;2
317010;UBERABA;2018-02-21;2;2018;5º RISP - Uberaba;3) Interior de MG;CONSUMADO;1
314090;MATIPO;2018-02-24;2;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
316680;SERRA DO SALITRE;2018-02-24;2;2018;10º RISP - Patos de Minas;3) Interior de MG;TENTADO;1
314330;MONTES CLAROS;2018-02-25;2;2018;11º RISP - Montes Claros;3) Interior de MG;TENTADO;1
314790;PASSOS;2018-02-25;2;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;1
312980;IBIRITE;2018-02-28;2;2018;2º RISP - Contagem;2) RMBH (sem BH);TENTADO;1
315150;PIUMHI;2018-02-28;2;2018;18º RISP - Poços de Caldas;3) Interior de MG;TENTADO;1
313550;JEQUERI;2018-03-01;3;2018;12º RISP - Ipatinga;3) Interior de MG;TENTADO;1
313520;JANUARIA;2018-03-02;3;2018;11º RISP - Montes Claros;3) Interior de MG;CONSUMADO;3
